Time (s),V_PRI
0.0,-1.8405002239999995
5e-10,-1.9030002175999998
1e-09,-1.8405002239999995
1.5000000000000002e-09,-1.9030002175999998
2e-09,-1.9655002111999997
2.5e-09,-1.9030002175999998
3.0000000000000004e-09,-2.0280002047999997
3.5000000000000003e-09,-2.0280002047999997
4e-09,-1.9655002111999997
4.500000000000001e-09,-2.0905001983999996
5e-09,-2.0905001983999996
5.5000000000000004e-09,-2.0280002047999997
6.000000000000001e-09,-2.0905001983999996
6.5e-09,-2.0905001983999996
7.000000000000001e-09,-2.0280002047999997
7.500000000000001e-09,-1.9655002111999997
8e-09,-2.0280002047999997
8.5e-09,-2.0280002047999997
9.000000000000001e-09,-1.9030002175999998
9.5e-09,-1.9655002111999997
1e-08,-1.9030002175999998
1.0500000000000001e-08,-1.8405002239999995
1.1000000000000001e-08,-1.9030002175999998
1.15e-08,-1.8405002239999995
1.2000000000000002e-08,-1.8405002239999995
1.2500000000000001e-08,-1.7780002303999995
1.3e-08,-1.7780002303999995
1.35e-08,-1.6530002431999997
1.4000000000000001e-08,-1.6530002431999997
1.45e-08,-1.5905002495999998
1.5000000000000002e-08,-1.5905002495999998
1.55e-08,-1.5280002559999994
1.6e-08,-1.4655002623999995
1.6500000000000002e-08,-1.4030002687999996
1.7e-08,-1.4030002687999996
1.75e-08,-1.3405002751999997
1.8000000000000002e-08,-1.3405002751999997
1.85e-08,-1.2155002879999999
1.9e-08,-1.2155002879999999
1.9500000000000003e-08,-1.1530002943999995
2e-08,-1.0280003071999997
2.05e-08,-1.0280003071999997
2.1000000000000003e-08,-1.0280003071999997
2.15e-08,-0.9030003199999999
2.2000000000000002e-08,-0.9030003199999999
2.2500000000000003e-08,-0.9030003199999999
2.3e-08,-0.7780003327999996
2.3500000000000002e-08,-0.7780003327999996
2.4000000000000003e-08,-0.7155003391999997
2.45e-08,-0.7155003391999997
2.5000000000000002e-08,-0.6530003455999998
2.55e-08,-0.5905003519999998
2.6e-08,-0.5905003519999998
2.6500000000000002e-08,-0.40300037119999965
2.7e-08,-0.46550036479999957
2.75e-08,-0.40300037119999965
2.8000000000000003e-08,-0.34050037759999974
2.85e-08,-0.40300037119999965
2.9e-08,-0.40300037119999965
2.9500000000000003e-08,-0.2780003839999998
3.0000000000000004e-08,-0.2780003839999998
3.05e-08,-0.2780003839999998
3.1e-08,-0.2155003903999999
3.1500000000000004e-08,-0.2155003903999999
3.2e-08,-0.15300039679999955
3.25e-08,-0.15300039679999955
3.3000000000000004e-08,-0.15300039679999955
3.35e-08,-0.15300039679999955
3.4e-08,-0.15300039679999955
3.4500000000000005e-08,0.03449958400000064
3.5e-08,-0.09050040319999964
3.55e-08,-0.09050040319999964
3.6000000000000005e-08,-0.02800040959999972
3.65e-08,-0.09050040319999964
3.7e-08,-0.09050040319999964
3.7500000000000005e-08,0.03449958400000064
3.8e-08,-0.02800040959999972
3.85e-08,-0.09050040319999964
3.9000000000000005e-08,-0.02800040959999972
3.95e-08,-0.02800040959999972
4e-08,-0.02800040959999972
4.0500000000000005e-08,-0.09050040319999964
4.1e-08,-0.02800040959999972
4.15e-08,-0.09050040319999964
4.2000000000000006e-08,-0.09050040319999964
4.2500000000000003e-08,0.03449958400000064
4.3e-08,-0.09050040319999964
4.3500000000000006e-08,-0.09050040319999964
4.4000000000000004e-08,-0.02800040959999972
4.45e-08,-0.09050040319999964
4.5000000000000006e-08,-0.15300039679999955
4.5500000000000004e-08,-0.09050040319999964
4.6e-08,-0.15300039679999955
4.6500000000000006e-08,-0.09050040319999964
4.7000000000000004e-08,-0.02800040959999972
4.75e-08,-0.02800040959999972
4.8000000000000006e-08,-0.02800040959999972
4.8500000000000004e-08,-0.02800040959999972
4.9e-08,-0.02800040959999972
4.95e-08,-0.02800040959999972
5.0000000000000004e-08,-0.02800040959999972
5.05e-08,0.03449958400000064
5.1e-08,0.03449958400000064
5.1500000000000005e-08,0.03449958400000064
5.2e-08,0.09699957760000011
5.25e-08,0.03449958400000064
5.3000000000000005e-08,0.03449958400000064
5.35e-08,0.09699957760000011
5.4e-08,0.09699957760000011
5.4500000000000005e-08,0.09699957760000011
5.5e-08,0.22199956479999994
5.55e-08,0.22199956479999994
5.6000000000000005e-08,0.22199956479999994
5.65e-08,0.22199956479999994
5.7e-08,0.22199956479999994
5.7500000000000005e-08,0.2844995584000003
5.8e-08,0.34699955200000066
5.85e-08,0.4094995456000001
5.9000000000000006e-08,0.34699955200000066
5.9500000000000003e-08,0.4094995456000001
6.000000000000001e-08,0.5344995328
6.05e-08,0.4719995392000005
6.1e-08,0.5344995328
6.15e-08,0.5969995264000003
6.2e-08,0.5344995328
6.250000000000001e-08,0.5969995264000003
6.300000000000001e-08,0.6594995200000007
6.35e-08,0.7219995136000001
6.4e-08,0.7219995136000001
6.45e-08,0.7219995136000001
6.5e-08,0.7844995072000005
6.55e-08,0.8469995008
6.600000000000001e-08,0.9094994944000003
6.65e-08,0.9094994944000003
6.7e-08,1.0344994816000002
6.75e-08,0.9719994880000007
6.8e-08,1.0344994816000002
6.85e-08,1.0969994752000005
6.900000000000001e-08,1.0969994752000005
6.950000000000001e-08,1.1594994688
7e-08,1.1594994688
7.05e-08,1.1594994688
7.1e-08,1.2844994559999998
7.15e-08,1.2844994559999998
7.200000000000001e-08,1.3469994496000002
7.250000000000001e-08,1.3469994496000002
7.3e-08,1.4094994432000005
7.35e-08,1.4719994368
7.4e-08,1.4719994368
7.45e-08,1.5969994239999998
7.500000000000001e-08,1.5344994304000004
7.550000000000001e-08,1.5969994239999998
7.6e-08,1.6594994176000002
7.65e-08,1.6594994176000002
7.7e-08,1.6594994176000002
7.75e-08,1.7844994048
7.800000000000001e-08,1.7219994112000006
7.850000000000001e-08,1.7219994112000006
7.9e-08,1.7844994048
7.95e-08,1.8469993984000004
8e-08,1.9094993919999999
8.05e-08,1.7844994048
8.100000000000001e-08,1.8469993984000004
8.150000000000001e-08,1.8469993984000004
8.2e-08,1.8469993984000004
8.25e-08,1.9719993856000002
8.3e-08,1.8469993984000004
8.35e-08,1.8469993984000004
8.400000000000001e-08,1.8469993984000004
8.450000000000001e-08,1.8469993984000004
8.500000000000001e-08,1.7844994048
8.55e-08,1.7219994112000006
8.6e-08,1.7844994048
8.65e-08,1.6594994176000002
8.700000000000001e-08,1.7219994112000006
8.750000000000001e-08,1.6594994176000002
8.800000000000001e-08,1.6594994176000002
8.85e-08,1.5969994239999998
8.9e-08,1.5969994239999998
8.95e-08,1.5344994304000004
9.000000000000001e-08,1.5344994304000004
9.050000000000001e-08,1.4719994368
9.100000000000001e-08,1.4094994432000005
9.15e-08,1.3469994496000002
9.2e-08,1.3469994496000002
9.25e-08,1.2844994559999998
9.300000000000001e-08,1.1594994688
9.350000000000001e-08,1.1594994688
9.400000000000001e-08,1.0969994752000005
9.45e-08,0.9719994880000007
9.5e-08,0.9719994880000007
9.55e-08,0.9719994880000007
9.600000000000001e-08,0.9094994944000003
9.650000000000001e-08,0.8469995008
9.700000000000001e-08,0.7219995136000001
9.75e-08,0.7219995136000001
9.8e-08,0.6594995200000007
9.85e-08,0.6594995200000007
9.9e-08,0.4719995392000005
9.950000000000001e-08,0.4719995392000005
1.0000000000000001e-07,0.4094995456000001
1.005e-07,0.34699955200000066
1.01e-07,0.2844995584000003
1.015e-07,0.2844995584000003
1.02e-07,0.15949957120000047
1.0250000000000001e-07,0.15949957120000047
1.0300000000000001e-07,0.15949957120000047
1.0350000000000001e-07,0.15949957120000047
1.04e-07,0.03449958400000064
1.045e-07,0.03449958400000064
1.05e-07,-0.02800040959999972
1.0550000000000001e-07,-0.09050040319999964
1.0600000000000001e-07,-0.09050040319999964
1.0650000000000001e-07,-0.09050040319999964
1.07e-07,-0.15300039679999955
1.075e-07,-0.15300039679999955
1.08e-07,-0.15300039679999955
1.0850000000000001e-07,-0.2155003903999999
1.0900000000000001e-07,-0.2780003839999998
1.0950000000000001e-07,-0.2780003839999998
1.1e-07,-0.2780003839999998
1.105e-07,-0.34050037759999974
1.11e-07,-0.2780003839999998
1.1150000000000001e-07,-0.2780003839999998
1.1200000000000001e-07,-0.2780003839999998
1.1250000000000001e-07,-0.2780003839999998
1.13e-07,-0.2780003839999998
1.135e-07,-0.40300037119999965
1.14e-07,-0.34050037759999974
1.1450000000000001e-07,-0.2780003839999998
1.1500000000000001e-07,-0.34050037759999974
1.1550000000000001e-07,-0.34050037759999974
1.16e-07,-0.34050037759999974
1.165e-07,-0.34050037759999974
1.17e-07,-0.34050037759999974
1.1750000000000001e-07,-0.2155003903999999
1.1800000000000001e-07,-0.34050037759999974
1.1850000000000001e-07,-0.34050037759999974
1.1900000000000001e-07,-0.2780003839999998
1.195e-07,-0.2155003903999999
1.2000000000000002e-07,-0.2155003903999999
1.205e-07,-0.2780003839999998
1.21e-07,-0.2780003839999998
1.215e-07,-0.2780003839999998
1.22e-07,-0.2155003903999999
1.2250000000000002e-07,-0.2155003903999999
1.23e-07,-0.2780003839999998
1.2350000000000001e-07,-0.2780003839999998
1.24e-07,-0.2155003903999999
1.245e-07,-0.2780003839999998
1.2500000000000002e-07,-0.2780003839999998
1.255e-07,-0.2155003903999999
1.2600000000000002e-07,-0.2780003839999998
1.265e-07,-0.34050037759999974
1.27e-07,-0.2780003839999998
1.275e-07,-0.34050037759999974
1.28e-07,-0.34050037759999974
1.2850000000000002e-07,-0.34050037759999974
