Time (s),VGS_A,VGS_B,VDS_A
0.0,5.0624993024,-1.7920000017213056e-07,-1.2499957760000058
5e-10,4.9999993088,-0.06250017280000009,4.0959999978440464e-06
1e-09,4.9374993152,-0.06250017280000009,-1.8749957120000005
1.5000000000000002e-09,4.9374993152,-0.18750016000000014,-1.2499957760000058
2e-09,4.9374993152,-0.18750016000000014,-1.8749957120000005
2.5e-09,4.9999993088,-0.1250001664,-1.2499957760000058
3.0000000000000004e-09,4.9374993152,-1.7920000017213056e-07,-1.8749957120000005
3.5000000000000003e-09,4.9999993088,-0.1250001664,-2.4999956480000023
4e-09,4.9374993152,-0.06250017280000009,-3.124995584000004
4.500000000000001e-09,4.9374993152,-0.1250001664,-1.8749957120000005
5e-09,4.9374993152,-0.1250001664,-1.8749957120000005
5.5000000000000004e-09,4.9374993152,-0.06250017280000009,-1.8749957120000005
6.000000000000001e-09,4.9999993088,-0.06250017280000009,-1.8749957120000005
6.5e-09,4.9374993152,-0.06250017280000009,-1.2499957760000058
7.000000000000001e-09,4.8749993216,-0.1250001664,-1.2499957760000058
7.500000000000001e-09,4.8749993216,-0.1250001664,-1.8749957120000005
8e-09,4.9374993152,-0.1250001664,-2.4999956480000023
8.5e-09,4.9374993152,-1.7920000017213056e-07,-0.624995840000004
9.000000000000001e-09,4.9374993152,-1.7920000017213056e-07,-2.4999956480000023
9.5e-09,4.9999993088,-0.06250017280000009,-2.4999956480000023
1e-08,4.8749993216,-0.1250001664,-1.8749957120000005
1.0500000000000001e-08,4.9999993088,-0.18750016000000014,-1.8749957120000005
1.1000000000000001e-08,4.9374993152,-0.1250001664,-2.4999956480000023
1.15e-08,4.9999993088,-0.1250001664,-1.8749957120000005
1.2000000000000002e-08,5.0624993024,-0.06250017280000009,-2.4999956480000023
1.2500000000000001e-08,4.9999993088,-0.1250001664,-1.8749957120000005
1.3e-08,4.8124993279999995,-0.18750016000000014,-1.8749957120000005
1.35e-08,4.0624994048,-0.18750016000000014,-2.4999956480000023
1.4000000000000001e-08,3.1249995007999996,-0.06250017280000009,-1.8749957120000005
1.45e-08,2.7499995392,-0.06250017280000009,-1.8749957120000005
1.5000000000000002e-08,2.8124995327999995,-0.06250017280000009,-2.4999956480000023
1.55e-08,2.5624995584,-0.1250001664,-2.4999956480000023
1.6e-08,1.9999996159999998,-0.1250001664,-2.4999956480000023
1.6500000000000002e-08,1.3124996863999998,-0.1250001664,-1.8749957120000005
1.7e-08,0.6249997567999999,-0.06250017280000009,-1.8749957120000005
